id,name_zh,name_en,election_type,person_id,matched,year,cacode,constituency_id,age,political_affiliation,camp,candidate_number,occupation,nominated_at,nominate_status,votes,vote_percentage,is_won
99,施天賜,,ordinary,2192,1,1999,C26,52,37,民建聯,建制,,銀行高級主任,,,1075,34,FALSE
100,趙志雄,,ordinary,2193,1,1999,C27,53,54,,其他,,商人,,,235,10.7,FALSE
101,麥順邦,MAK SHUN PONG PHILIP,ordinary,1018,2,1999,C27,53,46,,其他,,公司董事,,,1940,88.3,TRUE
102,黃宏泰,WONG WANG TAI,ordinary,2375,1,1999,C28,54,35,港進聯,建制,,執業會計師,,,653,30.2,FALSE
103,梁兆新,LEUNG SIU SUN,ordinary,2260,1,1999,C28,54,47,,其他,,市場研究總監,,,1479,68.5,TRUE
104,黃月梅,WONG YUET MUI,ordinary,2240,1,1999,C29,55,40,民主黨,民主,,社區幹事,,,1521,42.3,TRUE
105,王國有,,ordinary,1019,1,1999,C29,55,38,,其他,,資訊系統顧問,,,733,20.4,FALSE
106,黎永華,,ordinary,2172,1,1999,C29,55,21,民建聯,建制,,助理地區統籌主任,,,1323,36.8,FALSE
107,江澤濠,KONG CHACK HO,ordinary,1020,2,1999,C30,56,50,,其他,,經理,,,,,TRUE
108,何偉明,,ordinary,2287,1,1999,C31,57,30,民主黨,民主,,中醫藥從業員,,,807,38.3,FALSE
109,許嘉灝,HUI KA HOO,ordinary,2173,1,1999,C31,57,52,民建聯,建制,,幼稚園校董,,,1281,60.9,TRUE
110,呂志文,LUI CHI MAN,ordinary,2376,1,1999,C32,58,48,民主黨,民主,,保養工程監督,,,997,42.1,FALSE
111,趙資強,CHIU Chi-keung,ordinary,2328,1,1999,C32,58,51,民建聯,建制,,工會工作者,,,1355,57.3,TRUE
112,趙承基,CHAO SHING KIE,ordinary,2241,1,1999,C33,59,59,民建聯,建制,,銀行經理,,,1652,60.8,TRUE
113,凌育群,,ordinary,2280,1,1999,C33,59,61,民主黨,民主,,退休教師,,,1046,38.5,FALSE
114,陳達強,,ordinary,1245,1,1999,C34,60,42,民建聯,建制,,助理工程師,,,1271,54.7,TRUE
115,曾健成,TSANG KIN SHING,ordinary,753,1,1999,C34,60,43,民主黨,民主,,全職區議員,,,1042,44.8,FALSE
116,鍾少琼,,ordinary,2242,1,1999,C35,61,49,,其他,,美容顧問,,,283,13.4,FALSE
117,梁耀雄,,ordinary,2261,1,1999,C35,61,42,,其他,,中學教師,,,1792,85.4,TRUE
118,鍾樹根,CHUNG SHU KUN CHRISTOPHER,ordinary,2293,1,1999,C36,62,42,民建聯,建制,,咨詢科技顧問,,,2360,65.1,TRUE
119,鄧徐中,TANG CHUI CHUNG,ordinary,2281,1,1999,C36,62,25,民主黨,民主,,組織幹事,,,1253,34.5,FALSE
120,林翠蓮,LAM CHUI LIN,ordinary,2262,1,1999,C37,63,33,自由黨,建制,,行政人員,,,1674,53.3,TRUE
121,楊浩然,YEUNG SUI YIN,ordinary,2243,1,1999,C37,63,38,民主黨,民主,,律師,,,806,25.6,FALSE
122,黎鴻光,,ordinary,2294,1,1999,C37,63,37,民建聯,建制,,倉務經理,,,638,20.3,FALSE
123,黃文傑,WONG MAN KIT,ordinary,1022,2,1999,D01,64,58,自由黨,建制,,商人,,,,,TRUE
124,林玉珍,LAM YUK CHUN,ordinary,1246,1,1999,D02,65,41,,建制,,藝術學院院長,,,2306,58.2,TRUE
125,梁國華,LEUNG Kwok-wah,ordinary,1247,1,1999,D02,65,40,民主黨,民主,,電腦程序支援部主管,,,1204,30.4,FALSE
126,梁柏洪,,ordinary,2329,1,1999,D02,65,61,,建制,,交通服務,,,425,10.7,FALSE
127,黃敬祥,WONG KING CHEUNG,ordinary,2295,1,1999,D03,66,38,,其他,,校監,,,,,TRUE
128,朱俊賢,,ordinary,2244,1,1999,D04,67,55,,其他,,商人,,,,,TRUE
129,黃志毅,WONG CHE NGAI,ordinary,1023,1,1999,D05,68,47,,其他,,全職區議員,,,,,TRUE
130,車宛諭,,ordinary,1024,1,1999,D06,69,46,民主黨,民主,,資深壽險顧問,,,745,43.4,FALSE
131,林啟暉,LAM KAI FAI,ordinary,2116,1,1999,D06,69,48,,建制,,策劃顧問,,,950,55.4,TRUE
132,蘇悲鴻,,ordinary,2117,1,1999,D07,70,45,,其他,,社工,,,,,TRUE
133,麥謝巧玲,MAK TSE HOW LING ADA,ordinary,2245,1,1999,D08,71,49,,建制,,校長,,,1483,30.9,FALSE
134,楊小壁,YEUNG SIU PIK,ordinary,2118,1,1999,D08,71,39,民主黨,民主,,公司董事,,,1087,22.6,FALSE
135,洪天理,HUNG TENNY,ordinary,2330,1,1999,D08,71,58,,其他,,中心輔導主任,,,2204,45.9,TRUE
136,黃琼芳,,ordinary,2282,1,1999,D09,72,37,民主黨,民主,,醫務行政人員,,,1438,51.4,TRUE
137,歐立成,AU LAP SING,ordinary,2119,1,1999,D09,72,46,,其他,,醫院物資管理,,,1349,48.2,FALSE
138,黃震遐,,ordinary,1248,1,1999,D10,73,59,民主黨,民主,,醫生,,,1618,61.1,TRUE
139,麥志仁,MAK CHI YAN,ordinary,2263,1,1999,D10,73,45,民建聯,建制,,議員辦事處總幹事,,,1003,37.9,FALSE
140,高譚根,KO TAM KAN,ordinary,1025,1,1999,D11,74,62,,建制,,退休校長,,,,,TRUE
141,鄺錦華,,ordinary,1250,1,1999,D12,75,49,民主黨,民主,,電視公司經理,,,816,30,FALSE
142,朱慶虹,CHU CHING HONG,ordinary,1249,1,1999,D12,75,37,,建制,,執行董事／大學課程顧問,,,1885,69.3,TRUE
143,苗華振,MIU WAH CHANG,ordinary,2246,1,1999,D13,76,65,民建聯,建制,,全職區議員,,,,,TRUE
144,卜坤乾,PUK KWAN KIN,ordinary,2264,1,1999,D14,77,39,,其他,,的士司機,,,833,28.4,FALSE
145,陳思誦,CHAN SZE CHUNG,ordinary,2121,1,1999,D14,77,60,民建聯,建制,,商人,,,1067,36.4,TRUE
146,石國強,SHEK KWOK KEUNG,ordinary,2283,1,1999,D14,77,47,,其他,,公司決策人,,,994,33.9,FALSE
147,陳景豪,,ordinary,2120,1,1999,D15,78,32,民建聯,建制,,電訊公司經理,,,488,48.7,FALSE
148,楊孝華,YOUNG HOWARD,ordinary,1026,1,1999,D15,78,51,自由黨,建制,,總經理,,,507,50.6,TRUE
149,陳若瑟,,ordinary,2265,1,1999,D16,79,63,,其他,,校監,,,,,TRUE
150,李佩英,LEE PUI YING,ordinary,1657,2,1999,D17,80,58,,建制,,商人／經理,,,1093,47.5,TRUE
151,王錦泉,WONG KAM CHUEN,ordinary,2122,1,1999,D17,80,36,,建制,,商人,,,772,33.5,FALSE
152,謝志興,TSE CHI HING,ordinary,2266,1,1999,D17,80,46,民主黨,民主,,經理,,,422,18.3,FALSE
153,麥宜全,,ordinary,2284,1,1999,E01,81,42,民建聯,建制,,律師／會計師,,,675,42.1,FALSE
154,李景華,LI KING WAH,ordinary,2267,1,1999,E01,81,51,,其他,,僱員福利顧問,,,899,56.1,TRUE
155,葉國忠,,ordinary,754,1,1999,E02,82,48,民建聯,建制,,行政經理,,,,,TRUE
156,陳少棠,CHAN SIU TONG,ordinary,2296,1,1999,E03,83,30,民協,民主,,商人,,,626,35.1,FALSE
157,劉志榮,LAU CHI WING,ordinary,2331,1,1999,E03,83,47,民建聯,建制,,文化演藝界,,,1142,64.1,TRUE
158,吳寶珊,NG PO SHAN AUSTEN,ordinary,2285,1,1999,E04,84,41,民協,民主,,行政秘書,,,,,TRUE
159,涂謹申,TO KUN SUN JAMES,ordinary,1027,1,1999,E05,85,36,民主黨,民主,,執業律師,,,1670,56.9,TRUE
160,陳慧,,ordinary,1251,1,1999,E05,85,56,,其他,,社團總政,,,316,10.7,FALSE
161,鍾港武,CHUNG KONG MO,ordinary,1252,1,1999,E05,85,25,民建聯,建制,,社區總幹事,,,934,31.8,FALSE
162,黃瑞文,WONG SUI MAN,ordinary,1253,1,1999,E06,86,50,民建聯,建制,,銀行經理,,,638,46.6,FALSE
163,秦飛鵬,CHUN FEI PANG,ordinary,2299,1,1999,E06,86,43,一二三,民主,,全職議員,,,724,52.9,TRUE
164,朱韶洪,CHU SIU HUNG,ordinary,2268,1,1999,E07,87,50,,民主,,清潔商,,,111,11.4,FALSE
165,陳偉泉,,ordinary,2332,1,1999,E07,87,47,,其他,,行政經理,,,280,28.8,FALSE
166,黎自立,LAI CHI LAP,ordinary,2269,1,1999,E07,87,58,民主黨,民主,,行政主任,,,571,58.8,TRUE
167,陳仲傑,CHAN CHUNG KIT,ordinary,2333,1,1999,E08,88,50,,其他,,行政經理,,,1214,60.7,TRUE
168,梁雪芳,LEUNG SUET FONG,ordinary,2334,1,1999,E08,88,37,民主黨,民主,,工會幹事,,,772,38.6,FALSE
169,陳國明,CHAN KWOK MING,ordinary,1254,1,1999,E09,89,52,,其他,,小學校長,,,1178,53.8,TRUE
170,黃清和,,ordinary,2286,1,1999,E09,89,62,民主黨,民主,,駕駛教師,,,999,45.6,FALSE
171,陳文佑,CHAN MAN YU HENRY,ordinary,755,1,1999,E10,90,38,民主黨,民主,,管理顧問,,,1022,52,TRUE
172,梁照誠,LEUNG CHIU SHING,ordinary,2248,1,1999,E10,90,46,,建制,,行政經理,,,933,47.5,FALSE
173,黃志明,WONG CHE MING,ordinary,1255,2,1999,E11,91,49,,其他,,教師,,,1067,55,TRUE
174,吳永輝,NG WING FAI STANLEY,ordinary,2335,1,1999,E11,91,38,民主黨,民主,,城市規劃師,,,867,44.7,FALSE
175,葉樹安,IP SHU ON,ordinary,1267,1,1999,E12,92,39,民主黨,民主,,營業主任,,,870,54.7,TRUE
176,江威揚,,ordinary,1305,1,1999,E12,92,47,,建制,,社團秘書長,,,705,44.4,FALSE
177,羅永祥,LAW WING CHEUNG,ordinary,2174,1,1999,E13,93,39,,建制,,化驗師,,,1204,66.1,TRUE
178,戴錫崑,,ordinary,1361,1,1999,E13,93,42,一二三,民主,,律師,,,601,33,FALSE
179,仇振輝,CHOW CHUN FAI,ordinary,2175,1,1999,E14,94,52,,建制,,經理,,,,,TRUE
180,梁德堯,LEUNG TAK YEW,ordinary,1306,1,1999,E15,95,47,,建制,,行政人員,,,319,20.3,FALSE
181,梁偉權,LEUNG WAI KUEN EDWARD,ordinary,2176,1,1999,E15,95,42,,建制,,社會福利行政,,,859,54.7,TRUE
182,佘慶雲,SHEA HING WAN,ordinary,2336,1,1999,E15,95,42,,民主,,全職議員,,,100,6.3,FALSE
183,鍾堅明,,ordinary,2300,1,1999,E15,95,48,自由黨,建制,,教育行政,,,272,17.3,FALSE
184,加利,AHUJA GOPALDAS HOLARAM,ordinary,2177,1,1999,E16,96,55,,其他,,公司董事長,,,,,TRUE
185,梁有方,LEUNG YAU FONG,ordinary,1741,2,1999,F01,97,50,民協,民主,,室內設計,,,905,53.9,TRUE
186,容海,,ordinary,2194,1,1999,F01,97,44,民建聯,建制,,機械設計,,,287,17,FALSE
187,嚴鎮明,,ordinary,1307,1,1999,F01,97,35,民主黨,民主,,體育行政人員,,,467,27.8,FALSE
188,林家輝,LAM KA FAI AARON,ordinary,2123,1,1999,F02,98,39,,建制,,室內設計顧問,,,1093,53.7,TRUE
189,黃秀婷,,ordinary,2301,1,1999,F02,98,30,民主黨,民主,,社區工作者,,,927,45.5,FALSE
190,游明泰,,ordinary,1191,1,1999,F03,99,37,民建聯,建制,,工程師,,,645,38.2,FALSE
191,梁漢華,LEUNG HON WA,ordinary,1292,1,1999,F03,99,36,一二三,民主,,政團行政主任,,,1031,61,TRUE
192,李紹基,,ordinary,1293,1,1999,F04,100,28,民主黨,民主,,社區工作者,,,573,30.4,FALSE
193,梁欐,LEUNG LAI,ordinary,2302,1,1999,F04,100,37,民協,民主,,全職區議員,,,1297,68.9,TRUE
194,黃鑑權,WONG KAM KUEN,ordinary,2303,1,1999,F05,101,49,,建制,,社團行政人員,,,996,66.2,TRUE
195,易偉容,,ordinary,1402,1,1999,F05,101,42,民主黨,民主,,飲食業,,,499,33.1,FALSE
196,黎肇聰,,ordinary,2337,1,1999,F06,102,33,民主黨,民主,,社工,,,439,31.9,FALSE
197,張文韜,CHEUNG MAN TO RAYMOND,ordinary,2195,1,1999,F06,102,37,民協,民主,,執業大律師,,,637,46.3,TRUE
198,高家廣,,ordinary,1192,1,1999,F06,102,39,民建聯,建制,,運輸商人,,,294,21.3,FALSE
199,戴遠名,TAI YUEN MING,ordinary,1403,1,1999,F07,103,37,民協,民主,,工程主任,,,666,47.1,TRUE
200,梁啟賢,,ordinary,1362,1,1999,F07,103,33,民主黨,民主,,社工,,,404,28.5,FALSE
201,趙錫明,,ordinary,1363,1,1999,F07,103,43,民建聯,建制,,裝修工程,,,335,23.7,FALSE
202,衛煥南,,ordinary,2124,1,1999,F08,104,37,民協,民主,,全職議員,,,1750,75.2,TRUE
203,李思洪,,ordinary,1193,1,1999,F08,104,39,民建聯,建制,,廣告設計,,,564,24.2,FALSE
204,陳鏡秋,CHAN KENG CHAU,ordinary,2125,1,1999,F09,105,50,,建制,,社團行政人員,,,1099,24.6,FALSE
205,黃仲棋,WONG CHUNG KI ERIC,ordinary,2338,1,1999,F09,105,34,民主黨,民主,,全職議員,,,1782,40,TRUE
206,李偉豪,LEE WAI HO,ordinary,1364,1,1999,F09,105,26,民協,民主,,社區工作,,,1557,34.9,FALSE
207,魏浩然,,ordinary,1404,1,1999,F10,106,57,民建聯,建制,,學校技術員,,,516,17,FALSE
208,覃德誠,CHUM TAK SHING,ordinary,2304,1,1999,F10,106,24,民協,民主,,社區工作,,,1208,39.9,FALSE
209,陸嘉名,LUK KA MING,ordinary,1294,1,1999,F10,106,35,民主黨,民主,,康體事務主任,,,1285,42.5,TRUE
210,馬旗,MA KEE,ordinary,2126,1,1999,F11,107,45,民主黨,民主,,藥劑師,,,840,61.9,TRUE
211,劉志明,LAU CHI MING,ordinary,2339,1,1999,F11,107,41,民建聯,建制,,安全稽核師,,,509,37.5,FALSE
212,王德全,WONG TAK CHUEN JOE,ordinary,2305,1,1999,F12,108,37,民主黨,民主,,電台監製,,,1017,48.8,FALSE
213,曾有發,,ordinary,2127,1,1999,F12,108,50,民建聯,建制,,高級經理,,,1048,50.3,TRUE
214,陳松光,CHAN CHUNG KONG STEPHEN,ordinary,1405,1,1999,F13,109,34,民主黨,民主,,行政經理,,,907,41,FALSE
215,譚國雄,TAM KWOK HUNG,ordinary,2128,1,1999,F13,109,55,,其他,,營業經理,,,1280,57.8,TRUE
216,張永森,CHEUNG WING SUM AMBROSE,ordinary,1194,1,1999,F14,110,49,,其他,,律師／公司董事,,,2142,80.5,TRUE
217,陳均超,,ordinary,2306,1,1999,F14,110,39,民主黨,民主,,珠寶業,,,491,18.4,FALSE
218,譚國僑,TAM KWOK KIU,ordinary,1365,1,1999,F15,111,42,民協,民主,,全職區議員,,,1548,85.4,TRUE
219,柳傑翹,,ordinary,1406,1,1999,F15,111,35,民主黨,民主,,資訊科技顧問,,,245,13.5,FALSE
