id,name_en,name_zh,estimated_yob,yod,gender,related_organization,uuid,fc_uuid,description_zh,description_en
2480,NGAI Chi-ho,魏志豪,1973,,MALE,公民黨,b0c1fbeb-ad43-464a-8ef8-86034528816c,a705da4f-af7a-4dd7-8f26-4b5ab3d3ede5,,
1404,,魏浩然,1942,,MALE,,177fd072-416c-4c9a-9098-b5058c52eaa7,,,
212,PAU KWOK KIT ELSIE,鮑幗潔,1947,,FEMALE,,df6da0de-fc63-46f3-afc4-24e3bb607e6f,,,
2103,PAU MING HONG,鮑銘康,1988,,MALE,民建聯,0600369b-92fb-4296-a3c5-ec73c971d7f1,e152fc26-bb66-4e18-ab22-bdc0bab13e78,,
678,MAK Wai-ming,麥偉明,1973,,MALE,,f33f4608-d9e1-4b9d-a32b-fa711bcdc924,20cdb7dc-b36b-460d-b7a1-8020f66abda1,,
830,MAK WAI CHEE,麥偉智,1973,,MALE,,d56d2fcc-b466-4daa-81a5-3a45deaba3c6,,,
527,MAK WAI YIN,麥偉賢,1939,,MALE,,39d474ae-843a-453d-9836-1c267ceefe38,,,
1374,,麥勁麟,1943,,MALE,,7047fd7f-0280-4229-9ba0-4e6b2e4a8721,,,
317,"MAK Kwok-fung, Michael",麥國風,1955,,MALE,,ce905aad-b30f-4ca2-a2ae-b334c853b91f,,,
1790,MAK TSZ HEI,麥子熙,1979,,MALE,,718ee7ec-5876-4bfc-a77d-a96a3a6c5ce9,,,
1854,MAK TSZ HO,麥子豪,1988,,MALE,,2bc075c8-5e2e-4d5e-8082-b0bc48babe8d,,,
2284,,麥宜全,1957,,MALE,,e88acc1b-1ae7-42cf-a154-f8c8e53d80c8,,,
1273,MAK FU LING,麥富寧,1944,,MALE,,a31f3cf7-fadd-410d-a705-c762c2142b7f,,,
1504,MAK TAK CHING,麥德正,1971,,MALE,工黨,c4a1ae02-22f8-4a53-9f68-17146c61e7a7,4e4577e4-f641-4fcf-853b-0ca75b3a477b,,
2263,MAK CHI YAN,麥志仁,1954,,MALE,,1f36c034-649c-4024-9d37-ae952e017503,,,
1213,,麥日超,1946,,MALE,,d63f7d6e-0cdc-4eb4-9eea-38950fee3227,,,
2733,MAK King-sing,麥景星,,,MALE,灣仔起步,28c06825-d3e6-4ee3-b0fc-219bdfa54b5c,aca00ad6-cd59-42ed-8375-8fcf7d4d1b0b,,
448,,麥有傑,1960,,MALE,,7dd24c18-1c24-430c-ac16-9389a174b056,,,
2691,MAK Tsz-kin,麥梓健,,,MALE,公民黨,11bf7014-7086-478c-9cfb-75b033fb50ad,ae2d4ef7-d04f-4009-943b-f057f1b2d587,,
1399,MAK IP SING,麥業成,1960,,MALE,民主陣線,2429c2a3-6d8b-4af3-8a90-5357973977be,767aca21-ad3c-46df-bb3c-1bc993e5e52d,,
66,"MAK Wing-kwong, Anthony",麥永光,1958,,MALE,,b51c0df0-a8c3-4e08-9d3f-07735021c7ee,,,
915,MAK HON CHING,麥漢清,1964,,MALE,,9dc0d1da-6be7-4962-8873-a05e4662736f,,,
1444,MAK YUN PUI,麥潤培,1987,,MALE,,5769b8de-c3ac-4e03-912c-dee9f04aff37,6e319d77-7828-49dc-b66a-e12dad4b2ddc,,
2537,MAK Sui-ki,麥瑞淇,1985,,FEMALE,民主黨,ae02b216-4b13-4fa1-b297-f9668c24d525,ad2ba7a4-8039-4ce5-82dd-8a874c76fe88,,
109,MAK MEI KUEN ALICE,麥美娟,1971,,FEMALE,工聯會,533e3e7a-4b61-481d-a8e2-93a70725ccce,a7d639a0-0baa-4801-9361-d6e5c400cf0b,,
2245,MAK TSE HOW LING ADA,麥謝巧玲,1950,,FEMALE,民建聯,400e63d5-5612-4c98-8f82-16e49c06a946,690498d3-4bbf-4809-8506-157471839ace,,
464,MAK Tat-cho,麥達祖,1951,,MALE,,b177822d-dbd1-4a23-93be-136cef81eb2e,,,
1018,MAK SHUN PONG PHILIP,麥順邦,1953,,MALE,,b74ba84d-f916-46f6-8ae3-fc725e9b9614,,,
484,,黃世平,1958,,MALE,,b7e128bc-9e73-4463-8111-f5628518550f,,,
2595,WONG Tan-ching,黃丹晴,1992,,MALE,屯門社區網絡,9ee8f4ac-5747-47a1-894e-4dff251a426a,185b9e25-1804-4e35-92e6-af075990d512,,
696,WONG Nai-ping,黃乃平,1951,,MALE,,2aa9c608-0565-4288-be4c-1fd837da7abb,,,
2492,WONG Chi-fung,黃之鋒,,,MALE,,cc3c1aa2-3a62-410a-8fa3-405781fabba3,656db8fc-b0cd-4179-bc6e-6fad2d525fb1,,
2345,WONG YEE HIM,黃以謙,1965,,MALE,,1dcdca8d-8323-411e-821d-3c3d9b0e5361,,,
2338,WONG CHUNG KI ERIC,黃仲棋,1965,,MALE,,a2ebf2db-d6b9-4b2b-8cec-11bd9e2f2197,,,
1337,,黃來娣,1958,,FEMALE,,b51e2b39-8b14-4f2d-bc38-27b58ea3f318,,,
1480,WONG CHUN KIT,黃俊傑,1987,,MALE,,51d82a50-7895-4e00-8acb-784658c3dd04,,,
2985,WONG Chun-yeung,黃俊揚,,,MALE,,0c34feb1-bf55-4777-a421-adc0a3d1bb3b,67e2aa63-dfcb-41b1-a5c7-d25499704f29,,
570,WONG CHUN WAI,黃俊煒,1970,,MALE,,e67e8f74-1de1-4fcb-98cc-5310038e8e9f,,,
2949,WONG Chun-tat,黃俊達,1988,,MALE, ,bbbc3859-7f90-45bb-809a-a6469dd7d4f4,c426d41f-7994-453c-af53-be9fab859109,,
1583,WONG CHUN PONG,黃俊邦,1985,,MALE,,3df550c5-cd8d-4e0c-9a6d-13fa90404d20,,,
1010,WONG Wai-kit,黃偉傑,1980,,MALE,新界社團聯會,ded97ae2-1791-49df-bea5-eb907b9750ca,77b4985e-9ec5-4f18-bcbe-d961c732a83a,,
145,WONG Wai-suen,黃偉旋,1957,,MALE,,eed568da-a5db-4240-a601-67782d640f71,,,
1,,黃偉炎,1948,,MALE,,48355b3b-33c0-4716-83f2-a1d763f894ba,,,
1352,WONG WAI YIN ZACHARY,黃偉賢,1958,,MALE,民主黨,be5c7fec-c8d6-485e-a624-a53974113ca9,16d63c53-6649-40a2-9df2-be8ab52071b0,,
2212,WONG WAI TAG,黃偉達,1956,,MALE,,8fa0510f-1971-4b8d-a70c-1d16ae03a09b,,,
463,WONG Kin-wai,黃健偉,1973,,MALE,,ea3ab88e-898f-435d-976a-cf8f9b895bbe,,,
1964,WONG KIN LONG,黃健朗,1984,,MALE,,0f9b819b-5baa-4925-af0b-ae1106b64383,,,
2394,WONG KIN WING,黃健榮,1944,,MALE,,639fdbca-d36b-49bc-ba16-68d6628a2aa9,,,
674,WONG Kin-hing,黃健興,1975,,MALE,香港島各界聯合會,d46fc190-3d02-443d-a905-6814ca0a7bc9,f6910321-2adb-4d88-9c54-650e6d270dc0,,
